SchoolName;SportName;NCAAConference;Athletes ;Score;Eligibility;PreviousAthletes;PreviousScore;PreviousEligibility
Western Illinois University;Men's Soccer;The Summit League;23;1000;1;28;961;0.9608
Cornell University;Men's Basketball;The Ivy League;45;994;1;18;1000;1
University of Wisconsin, Madison;Women's Basketball;Big Ten Conference;15;983;0.9655;14;1000;1
Stanford University;Women's Tennis;Pac-12 Conference;8;1000;1;11;1000;1
University of Iowa;Women's Basketball;Big Ten Conference;14;963;0.963;15;983;0.9667
Princeton University;Women's Tennis;The Ivy League;10;1000;1;7;1000;1
Oklahoma State University;Women's Soccer;Big 12 Conference;24;1000;1;23;1000;1
Pennsylvania State University;Men's Tennis;Big Ten Conference;9;1000;1;10;1000;1
Baylor University;Women's Basketball;Big 12 Conference;13;980;1;14;1000;1
Baylor University;Men's Basketball;Big 12 Conference;13;1000;1;12;1000;1
University of Nebraska Omaha;Men's Basketball;The Summit League;13;980;1;12;917;1
University of Michigan;Women's Basketball;Big Ten Conference;11;1000;1;14;1000;1
Syracuse University;Women's Tennis;Atlantic Coast Conference;8;1000;1;8;1000;1
University of Michigan;Women's Soccer;Big Ten Conference;23;966;0.9556;20;971;1
Virginia Polytechnic Institute and State University;Men's Basketball;Atlantic Coast Conference;13;936;0.9167;14;940;0.9231
Dartmouth College;Women's Tennis;The Ivy League;9;1000;1;10;1000;1
Michigan State University;Men's Soccer;Big Ten Conference;23;988;1;23;962;0.95
University of Pittsburgh;Women's Basketball;Atlantic Coast Conference;12;958;0.9583;11;1000;1
University of Nebraska Omaha;Women's Tennis;The Summit League;8;1000;1;7;1000;1
Texas Christian University;Women's Soccer;Big 12 Conference;22;988;1;25;989;1
University of Miami (Florida);Women's Tennis;Atlantic Coast Conference;9;1000;1;8;962;1
Texas Christian University;Men's Basketball;Big 12 Conference;14;926;0.9259;13;918;0.88
Pennsylvania State University;Men's Basketball;Big Ten Conference;13;1000;1;13;958;0.96
Princeton University;Men's Tennis;The Ivy League;10;974;1;11;1000;1
Harvard University;Women's Ice Hockey;The Ivy League;18;1000;1;20;1000;1
North Dakota State University;Women's Basketball;The Summit League;16;983;1;14;982;0.9643
Brown University;Men's Basketball;The Ivy League;14;964;0.9286;10;950;1
Indiana University-Purdue University at Indianapolis;Women's Tennis;The Summit League;7;1000;1;8;969;0.9375
University of Illinois, Champaign;Men's Tennis;Big Ten Conference;9;1000;1;7;1000;1
Brown University;Women's Soccer;The Ivy League;29;1000;1;27;1000;1
University of Illinois, Champaign;Men's Basketball;Big Ten Conference;13;1000;1;13;980;1
University of Maryland, College Park;Women's Basketball;Big Ten Conference;14;1000;1;13;942;0.9615
Pennsylvania State University;Women's Basketball;Big Ten Conference;15;964;0.9643;12;978;0.9565
University of Denver;Men's Skiing;The Summit League;8;1000;1;10;1000;1
Georgia Institute of Technology;Men's Basketball;Atlantic Coast Conference;13;960;1;12;1000;1
Oregon State University;Women's Basketball;Pac-12 Conference;12;989;0.9783;12;979;1
Cornell University;Men's Soccer;The Ivy League;16;1000;1;16;917;0.9333
Columbia University-Barnard College;Men's Basketball;The Ivy League;15;1000;1;15;950;0.9667
Boston College;Men's Basketball;Atlantic Coast Conference;13;1000;1;11;977;1
Oklahoma State University;Men's Tennis;Big 12 Conference;10;1000;1;8;963;1
Michigan State University;Men's Tennis;Big Ten Conference;9;1000;1;8;1000;1
Georgia Institute of Technology;Men's Tennis;Atlantic Coast Conference;8;1000;1;11;971;1
University of South Dakota;Women's Basketball;The Summit League;14;962;1;14;1000;1
Brown University;Men's Ice Hockey;The Ivy League;25;1000;1;30;1000;1
Georgia Institute of Technology;Women's Tennis;Atlantic Coast Conference;8;933;0.9333;9;1000;1
Northwestern University;Women's Basketball;Big Ten Conference;14;1000;1;14;1000;1
University of California, Berkeley;Men's Tennis;Pac-12 Conference;6;1000;1;7;1000;1
University of Arizona;Women's Tennis;Pac-12 Conference;8;1000;1;8;1000;1
West Virginia University;Men's Soccer;Big 12 Conference;21;975;1;19;968;1
Florida State University;Men's Basketball;Atlantic Coast Conference;11;955;0.9546;14;981;0.963
Cornell University;Men's Ice Hockey;The Ivy League;25;970;0.98;20;1000;1
University of Michigan;Men's Soccer;Big Ten Conference;15;1000;1;21;976;0.9762
Texas Tech University;Men's Basketball;Big 12 Conference;12;1000;1;14;961;1
University of Texas at Austin;Men's Tennis;Big 12 Conference;10;1000;1;11;1000;1
Princeton University;Men's Soccer;The Ivy League;28;1000;1;23;978;0.9783
North Carolina State University;Women's Soccer;Atlantic Coast Conference;24;1000;1;23;1000;1
Dartmouth College;Men's Soccer;The Ivy League;27;1000;1;27;1000;1
Princeton University;Women's Basketball;The Ivy League;14;1000;1;13;1000;1
University of North Carolina, Chapel Hill;Women's Soccer;Atlantic Coast Conference;24;987;0.9756;20;1000;1
Pennsylvania State University;Men's Soccer;Big Ten Conference;21;986;1;19;944;0.9167
Harvard University;Men's Soccer;The Ivy League;23;966;0.9767;21;976;1
University of Washington;Men's Basketball;Pac-12 Conference;13;979;1;15;1000;1
University of Nebraska Omaha;Men's Tennis;The Summit League;10;973;1;12;917;0.9167
Columbia University-Barnard College;Women's Tennis;The Ivy League;10;1000;1;12;1000;1
North Carolina State University;Women's Basketball;Atlantic Coast Conference;14;1000;1;14;964;0.9286
Harvard University;Women's Soccer;The Ivy League;20;1000;1;22;1000;1
Wake Forest University;Men's Basketball;Atlantic Coast Conference;13;1000;1;9;943;1
University of Denver;Women's Skiing;The Summit League;11;977;1;11;988;0.9767
University of Utah;Men's Basketball;Pac-12 Conference;14;1000;0.9286;13;979;1
Dartmouth College;Women's Basketball;The Ivy League;15;1000;1;10;1000;1
University of Southern California;Men's Basketball;Pac-12 Conference;14;944;0.9259;13;939;0.96
University of Pennsylvania;Women's Soccer;The Ivy League;22;989;0.9773;23;1000;1
West Virginia University;Men's Basketball;Big 12 Conference;11;976;1;13;1000;1
University of Maryland, College Park;Men's Soccer;Big Ten Conference;25;976;0.9762;23;951;0.9512
Clemson University;Men's Soccer;Atlantic Coast Conference;23;988;1;27;938;0.9583
The Ohio State University;Men's Ice Hockey;Big Ten Conference;27;990;1;22;1000;1
University of Pennsylvania;Women's Tennis;The Ivy League;9;1000;1;6;1000;1
University of Oklahoma;Men's Tennis;Big 12 Conference;10;1000;1;9;1000;0.9412
Oklahoma State University;Women's Tennis;Big 12 Conference;9;1000;1;9;903;1
University of Iowa;Women's Soccer;Big Ten Conference;23;989;1;22;1000;1
Dartmouth College;Men's Ice Hockey;The Ivy League;26;1000;1;26;1000;1
Harvard University;Men's Tennis;The Ivy League;12;1000;1;11;976;1
Princeton University;Women's Soccer;The Ivy League;25;1000;1;22;988;0.9767
Baylor University;Men's Tennis;Big 12 Conference;12;929;0.9546;10;944;0.9444
University of Colorado, Boulder;Men's Basketball;Pac-12 Conference;13;959;0.96;12;979;1
West Virginia University;Women's Tennis;Big 12 Conference;10;1000;1;10;919;0.9474
Michigan State University;Women's Tennis;Big Ten Conference;11;1000;1;8;900;0.9333
University of Notre Dame;Men's Soccer;Atlantic Coast Conference;20;1000;1;22;1000;1
University of Michigan;Men's Basketball;Big Ten Conference;11;1000;1;13;980;1
Rutgers, The State University of New Jersey, New Brunswick;Women's Tennis;Big Ten Conference;8;1000;1;8;938;0.9375
University of Notre Dame;Men's Tennis;Atlantic Coast Conference;12;1000;1;11;1000;1
Boston College;Men's Ice Hockey;Atlantic Coast Conference;18;1000;1;18;1000;1
Columbia University-Barnard College;Women's Soccer;The Ivy League;20;1000;1;22;1000;1
Pennsylvania State University;Women's Ice Hockey;Big Ten Conference;21;1000;1;-99;-99;-99
University of Minnesota, Twin Cities;Women's Basketball;Big Ten Conference;10;1000;1;14;1000;1
University of Notre Dame;Women's Soccer;Atlantic Coast Conference;21;1000;1;19;959;0.946
University of Wisconsin, Madison;Women's Soccer;Big Ten Conference;25;945;0.9556;27;989;1
Stanford University;Women's Basketball;Pac-12 Conference;17;1000;1;16;1000;1
Clemson University;Women's Tennis;Atlantic Coast Conference;7;1000;1;8;933;1
University of Oregon;Women's Soccer;Pac-12 Conference;24;1000;1;22;1000;1
Columbia University-Barnard College;Women's Basketball;The Ivy League;13;1000;1;13;1000;1
Oral Roberts University;Men's Tennis;The Summit League;9;1000;1;6;882;0.7778
Harvard University;Women's Tennis;The Ivy League;8;1000;1;9;941;0.9412
Stanford University;Men's Soccer;Pac-12 Conference;17;1000;1;21;988;0.975
University of Miami (Florida);Women's Soccer;Atlantic Coast Conference;21;1000;1;28;978;1
Iowa State University;Women's Tennis;Big 12 Conference;11;976;1;9;1000;1
Cornell University;Women's Tennis;The Ivy League;8;1000;1;8;969;0.9375
Indiana University-Purdue University, Fort Wayne;Women's Soccer;The Summit League;24;956;0.9787;23;978;0.9783
University of Southern California;Women's Tennis;Pac-12 Conference;8;1000;1;10;971;1
University of Wisconsin, Madison;Women's Ice Hockey;Big Ten Conference;25;1000;1;25;966;0.9778
University of Oklahoma;Men's Basketball;Big 12 Conference;13;958;1;12;1000;1
University of Nebraska Omaha;Men's Soccer;The Summit League;17;1000;1;10;917;1
Western Illinois University;Men's Tennis;The Summit League;7;962;0.9286;9;967;1
University of Nebraska Omaha;Women's Soccer;The Summit League;21;1000;1;17;984;1
University of Louisville;Men's Basketball;Atlantic Coast Conference;13;1000;1;13;1000;1
University of Maryland, College Park;Women's Tennis;Big Ten Conference;8;1000;1;7;958;1
Dartmouth College;Men's Tennis;The Ivy League;11;1000;1;10;1000;1
University of Illinois, Champaign;Women's Basketball;Big Ten Conference;16;1000;1;15;949;0.9333
University of California, Berkeley;Women's Soccer;Pac-12 Conference;26;971;0.9808;31;1000;1
Indiana University-Purdue University, Fort Wayne;Men's Basketball;The Summit League;14;964;0.9643;13;1000;1
Yale University;Women's Soccer;The Ivy League;21;1000;1;23;1000;1
University of Virginia;Women's Basketball;Atlantic Coast Conference;13;979;1;13;1000;1
Indiana University, Bloomington;Women's Basketball;Big Ten Conference;14;1000;1;14;981;1
Yale University;Women's Basketball;The Ivy League;15;1000;1;12;978;1
Kansas State University;Women's Basketball;Big 12 Conference;14;1000;1;13;981;1
South Dakota State University;Men's Tennis;The Summit League;6;1000;1;5;1000;1
Boston College;Women's Basketball;Atlantic Coast Conference;14;982;1;12;936;0.9583
University of Oklahoma;Women's Tennis;Big 12 Conference;8;1000;1;8;1000;1
Virginia Polytechnic Institute and State University;Men's Soccer;Atlantic Coast Conference;24;900;0.9524;26;968;0.9583
Brown University;Women's Skiing;The Ivy League;7;1000;1;6;1000;1
Boston College;Men's Skiing;Atlantic Coast Conference;6;1000;1;4;1000;1
Yale University;Women's Ice Hockey;The Ivy League;22;1000;1;24;989;1
University of Denver;Men's Ice Hockey;The Summit League;20;1000;1;22;1000;1
North Carolina State University;Men's Tennis;Atlantic Coast Conference;9;1000;1;10;1000;1
University of Denver;Men's Tennis;The Summit League;9;1000;1;8;1000;1
Arizona State University;Men's Basketball;Pac-12 Conference;13;1000;1;12;1000;1
Texas Tech University;Women's Soccer;Big 12 Conference;28;1000;1;28;1000;1
University of Iowa;Women's Tennis;Big Ten Conference;8;938;0.9375;8;1000;1
University of Miami (Florida);Men's Basketball;Atlantic Coast Conference;13;981;1;13;1000;1
Oral Roberts University;Men's Soccer;The Summit League;21;988;0.9762;20;958;0.9737
University of California, Berkeley;Men's Basketball;Pac-12 Conference;13;942;0.9231;14;961;0.9231
Georgia Institute of Technology;Women's Basketball;Atlantic Coast Conference;14;927;0.9643;15;983;1
Stanford University;Men's Tennis;Pac-12 Conference;8;1000;1;8;1000;1
University of Michigan;Men's Tennis;Big Ten Conference;8;1000;1;7;962;1
University of California, Los Angeles;Men's Tennis;Pac-12 Conference;9;1000;1;11;943;1
Rutgers, The State University of New Jersey, New Brunswick;Women's Soccer;Big Ten Conference;22;1000;1;20;957;0.9714
Dartmouth College;Women's Soccer;The Ivy League;26;1000;1;25;1000;1
University of Washington;Men's Tennis;Pac-12 Conference;7;962;1;9;1000;1
Michigan State University;Women's Basketball;Big Ten Conference;14;960;0.9615;15;965;0.9655
Yale University;Men's Tennis;The Ivy League;9;1000;1;12;1000;1
Cornell University;Women's Soccer;The Ivy League;19;1000;1;27;1000;1
University of Kansas;Women's Tennis;Big 12 Conference;9;968;1;9;900;0.9333
University of Louisville;Men's Soccer;Atlantic Coast Conference;23;974;0.975;30;969;0.96
University of California, Los Angeles;Men's Basketball;Pac-12 Conference;12;952;0.9546;13;955;0.9149
Virginia Polytechnic Institute and State University;Women's Tennis;Atlantic Coast Conference;8;1000;1;9;972;0.9444
University of Arizona;Men's Tennis;Pac-12 Conference;9;969;0.9375;11;967;1
University of Minnesota, Twin Cities;Men's Tennis;Big Ten Conference;9;1000;1;10;1000;1
University of Texas at Austin;Men's Basketball;Big 12 Conference;13;1000;1;11;1000;0.9546
Duke University;Men's Tennis;Atlantic Coast Conference;9;1000;1;9;1000;1
University of California, Los Angeles;Men's Soccer;Pac-12 Conference;20;1000;1;25;975;1
Florida State University;Women's Tennis;Atlantic Coast Conference;9;970;1;9;1000;1
South Dakota State University;Women's Soccer;The Summit League;29;982;0.9821;25;990;0.9796
Indiana University-Purdue University, Fort Wayne;Men's Tennis;The Summit League;9;971;1;8;1000;1
University of Minnesota, Twin Cities;Women's Tennis;Big Ten Conference;9;1000;1;10;1000;1
Texas Tech University;Women's Basketball;Big 12 Conference;15;942;1;14;981;1
University of Texas at Austin;Women's Tennis;Big 12 Conference;9;1000;1;8;968;1
University of Virginia;Men's Tennis;Atlantic Coast Conference;12;1000;1;8;1000;1
University of Kansas;Women's Basketball;Big 12 Conference;12;957;1;13;938;0.9583
Michigan State University;Men's Ice Hockey;Big Ten Conference;22;988;1;22;1000;0.9773
University of Oregon;Women's Basketball;Pac-12 Conference;14;982;0.9643;14;1000;1
Arizona State University;Women's Tennis;Pac-12 Conference;9;1000;1;8;1000;1
University of Denver;Men's Basketball;The Summit League;13;962;1;13;1000;1
Brown University;Men's Soccer;The Ivy League;24;1000;1;27;1000;1
Syracuse University;Women's Ice Hockey;Atlantic Coast Conference;18;1000;1;20;944;0.973
University of Virginia;Men's Basketball;Atlantic Coast Conference;12;979;1;12;976;1
University of North Carolina, Chapel Hill;Women's Basketball;Atlantic Coast Conference;14;982;1;14;981;1
Northwestern University;Men's Basketball;Big Ten Conference;12;932;0.9565;12;979;0.9583
University of Oklahoma;Women's Soccer;Big 12 Conference;30;971;0.9815;26;990;0.9796
Purdue University;Women's Soccer;Big Ten Conference;23;978;0.9783;22;1000;0.9773
University of Minnesota, Twin Cities;Men's Basketball;Big Ten Conference;13;1000;0.96;13;981;1
University of Nebraska, Lincoln;Women's Soccer;Big Ten Conference;25;989;1;27;980;1
University of Colorado, Boulder;Men's Skiing;Pac-12 Conference;9;1000;1;9;941;1
The Ohio State University;Women's Ice Hockey;Big Ten Conference;22;1000;1;30;991;0.9826
University of Wisconsin, Madison;Women's Tennis;Big Ten Conference;9;968;1;8;1000;1
Washington State University;Women's Soccer;Pac-12 Conference;28;990;1;22;989;1
The Ohio State University;Men's Tennis;Big Ten Conference;11;1000;1;13;979;1
University of Denver;Men's Soccer;The Summit League;22;1000;1;21;986;1
University of Pittsburgh;Women's Soccer;Atlantic Coast Conference;22;1000;1;22;976;0.9756
Indiana University, Bloomington;Men's Tennis;Big Ten Conference;8;966;1;9;1000;1
West Virginia University;Women's Basketball;Big 12 Conference;14;1000;1;12;1000;1
Dartmouth College;Women's Ice Hockey;The Ivy League;19;1000;1;21;1000;1
Michigan State University;Men's Basketball;Big Ten Conference;13;961;1;13;1000;1
University of Arizona;Women's Soccer;Pac-12 Conference;28;973;0.9821;26;979;0.9796
University of Washington;Women's Basketball;Pac-12 Conference;12;1000;1;16;969;0.9688
Western Illinois University;Men's Basketball;The Summit League;12;932;1;11;952;1
University of Washington;Men's Soccer;Pac-12 Conference;20;986;0.9737;22;972;0.973
University of Colorado, Boulder;Women's Tennis;Pac-12 Conference;9;969;1;9;966;1
Virginia Polytechnic Institute and State University;Men's Tennis;Atlantic Coast Conference;9;967;1;8;967;1
Northwestern University;Men's Tennis;Big Ten Conference;9;1000;1;10;1000;1
University of California, Berkeley;Women's Basketball;Pac-12 Conference;13;940;0.96;13;960;1
Wake Forest University;Women's Soccer;Atlantic Coast Conference;20;974;0.9737;22;976;1
Oral Roberts University;Women's Tennis;The Summit League;7;1000;1;8;1000;1
